Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 5675.51 cur_dir= -5 prev_v= 1 cur_v= 1 window= 4.29872 target= 13.1255 rtt= 28.0035
new_RTT_at: 5701.33 cur_dir= 5 prev_v= 1 cur_v= 1 window= 5.32273 target= 47.6908 rtt= 23.587
new_RTT_at: 5740.48 cur_dir= 7 prev_v= 1 cur_v= 2 window= 6.55324 target= 22.0051 rtt= 26.3493
new_RTT_at: 5786.17 cur_dir= 0 prev_v= 1 cur_v= 1 window= 7.97141 target= -18.9131 rtt= 40.3314
new_RTT_at: 5841.5 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.90018 target= -34.5103 rtt= 53.1399
new_RTT_at: 5898.46 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.15797 target= -28.5177 rtt= 47.4194
new_RTT_at: 5947.45 cur_dir= -7 prev_v= 1 cur_v= 1 window= 3.43872 target= 30.8445 rtt= 25.1238
new_RTT_at: 5972.44 cur_dir= 4 prev_v= 1 cur_v= 1 window= 6.41662 target= 48.5291 rtt= 23.5308

debug1:sec: 6 throughput: 1.52732 RTT: 41.1501
new_RTT_at: 6013.55 cur_dir= 3 prev_v= 1 cur_v= 2 window= 7.5737 target= -14.4825 rtt= 37.7523
new_RTT_at: 6058.46 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.67357 target= -22.9434 rtt= 43.0323
new_RTT_at: 6093.56 cur_dir= -6 prev_v= 1 cur_v= 1 window= 4.37805 target= -1.93187 rtt= 32.2122
new_RTT_at: 6131.2 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.30595 target= 1.39882 rtt= 31.0915
new_RTT_at: 6165.48 cur_dir= 3 prev_v= 1 cur_v= 1 window= 4.30538 target= 4.8887 rtt= 30.0434
new_RTT_at: 6405.67 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2.6925 target= -92.0587 rtt= 236.67
new_RTT_at: 6512.84 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -48.7945 rtt= 72.4067
new_RTT_at: 6621.78 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -59.5144 rtt= 94.2513
new_RTT_at: 6767.93 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -15.5822 rtt= 38.3574
new_RTT_at: 6893.19 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -37.0134 rtt= 55.889
new_RTT_at: 6971.54 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 21.0699 rtt= 26.5014
new_RTT_at: 7005.99 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 21.0699 rtt= 26.5014

debug1:sec: 7 throughput: 0.50934 RTT: 57.6105
new_RTT_at: 7171.82 cur_dir= 2 prev_v= 1 cur_v= 2 window= 3.85167 target= -79.787 rtt= 164.448
new_RTT_at: 7273.6 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -54.2264 rtt= 82.5018
new_RTT_at: 7318.32 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 55.8079 rtt= 23.1034
new_RTT_at: 7358.48 cur_dir= 1 prev_v= 1 cur_v= 1 window= 3.99765 target= 55.8079 rtt= 23.1034
new_RTT_at: 7484.5 cur_dir= -3 prev_v= 1 cur_v= 1 window= 4.40668 target= -70.3749 rtt= 125.966
new_RTT_at: 7550.78 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.73136 target= -40.3267 rtt= 59.8992
new_RTT_at: 7672.12 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -67.3727 rtt= 116.023
new_RTT_at: 7740.16 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 57.2506 rtt= 23.0303
new_RTT_at: 7793.37 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.16835 target= -34.2389 rtt= 52.8553
new_RTT_at: 7862.04 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2 target= -35.7244 rtt= 54.4446
new_RTT_at: 7916.8 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 34.0302 rtt= 24.7634
new_RTT_at: 7947.92 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.1916 target= 34.0302 rtt= 24.7634
new_RTT_at: 7985.41 cur_dir= 0 prev_v= 1 cur_v= 1 window= 5.52265 target= -8.83207 rtt= 34.9703

debug1:sec: 8 throughput: 0.528255 RTT: 67.9005
new_RTT_at: 8032.32 cur_dir= -6 prev_v= 1 cur_v= 1 window= 3.3329 target= -20.8846 rtt= 41.6073
new_RTT_at: 8200.43 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -72.7121 rtt= 134.427
new_RTT_at: 8329.86 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -45.1516 rtt= 66.5911
new_RTT_at: 8396.64 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 29.2727 rtt= 25.3162
new_RTT_at: 8424.62 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 29.2727 rtt= 25.3162
new_RTT_at: 8448.54 cur_dir= 2 prev_v= 1 cur_v= 2 window= 3.80302 target= 43.7981 rtt= 23.8696
new_RTT_at: 8489.14 cur_dir= 4 prev_v= 2 cur_v= 4 window= 10.3974 target= 1.12912 rtt= 31.1777
new_RTT_at: 8574.59 cur_dir= -12 prev_v= 1 cur_v= 1 window= 7.80414 target= -48.1733 rtt= 71.3644
new_RTT_at: 8663.48 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.00166 target= -56.6114 rtt= 87.5456
new_RTT_at: 8769.9 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.28682 target= -53.1979 rtt= 80.4475
new_RTT_at: 8859.77 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2.35898 target= -48.6398 rtt= 72.1451
new_RTT_at: 9162.69 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -79.4013 rtt= 162.623

debug1:sec: 9 throughput: 0.593507 RTT: 57.8267
